,player_name,pitch_type,stuff_plus,count
772,Matt Strahm,CT,40,152
773,Jeff Brigham,CT,40,127
774,José Ureña,SL,40,196
775,Blake Snell,SL,39,416
776,Brent Headrick,SL,39,188
777,Adam Cimber,SL,38,108
778,Nick Lodolo,CB,38,230
779,Kevin Kelly,CT,37,108
780,Joan Adon,SL,36,104
781,Zach Davies,CT,35,169
782,Garrett Whitlock,SL,32,274
783,Andre Pallante,CB,29,153
784,Camilo Doval,CT,24,383
785,Drew Smyly,CT,23,282
786,AJ Smith-Shawver,SL,12,111
787,Dauri Moreta,SL,12,621
788,Joey Lucchesi,CT,0,159
