,player_name,pitch_type,stuff_plus,count
193,Drew VerHagen,SI,56,179
183,Domingo Germán,SI,55,173
195,Drey Jameson,SI,55,200
181,Dinelson Lamet,SI,55,165
73,Brandon Bielak,FF,55,420
232,George Soriano,FF,54,365
497,Patrick Corbin,FF,54,499
334,Jordan Montgomery,FF,54,398
119,Casey Lawrence,SI,54,151
172,Dauri Moreta,FF,53,254
572,Sonny Gray,SI,53,474
281,James Kaprielian,FF,53,451
520,Ranger Suárez,FF,53,484
507,Peter Lambert,FF,53,646
611,Trevor Williams,SI,52,381
228,Gavin Stone,FF,52,152
527,Rich Hill,FF,52,864
101,Bryce Elder,SI,52,1099
205,Eduardo Rodriguez,SI,52,219
504,Pedro Avila,FF,52,289
55,Austin Gomber,FF,51,946
16,Adbert Alzolay,SI,51,184
4,Aaron Civale,FF,51,246
592,Thaddeus Ward,SI,50,254
311,Joe La Sorsa,SI,50,272
453,Max Fried,SI,50,161
136,Clarke Schmidt,SI,49,647
646,Zach Eflin,FF,49,162
396,Kyle Bradish,FF,48,614
69,Brad Hand,FF,48,324
629,Will Smith,FF,48,351
544,Ryan Yarbrough,SI,48,439
442,Matt Koch,FF,48,258
384,Kendall Graveman,FF,47,250
14,Adam Wainwright,SI,47,560
307,Joan Adon,FF,47,365
266,JP Sears,FF,47,1437
120,Chad Kuhl,SI,46,269
125,Chasen Shreve,FF,46,270
512,Pierce Johnson,FF,45,386
275,Jake Diekman,FF,45,585
31,Amir Garrett,SI,45,166
215,Erik Swanson,FF,45,374
107,Buck Farmer,FF,44,525
500,Patrick Sandoval,SI,44,291
502,Paul Blackburn,SI,44,451
301,Jhony Brito,FF,44,245
274,Jake Bird,SI,43,825
432,Marcus Stroman,FF,43,181
410,Lance Lynn,SI,43,413
577,Steven Okert,FF,43,399
400,Kyle Freeland,SI,43,680
242,Griffin Canning,FF,42,730
259,Hyun Jin Ryu,FF,42,262
411,Lane Ramsey,FF,42,166
321,John Curtiss,FF,42,168
11,Adam Oller,FF,42,186
161,Dakota Hudson,FF,42,287
90,Brett Kennedy,FF,40,160
165,Daniel Bard,SI,40,348
491,Noah Syndergaard,FF,40,254
87,Brent Honeywell,FF,39,443
26,Alex Lange,SI,39,299
499,Patrick Sandoval,FF,39,667
163,Dallas Keuchel,SI,38,228
129,Chris Flexen,FF,37,721
17,Adrian Houser,FF,37,440
80,Braxton Garrett,FF,37,200
489,Nick Wittgren,FF,36,170
579,Taijuan Walker,FF,35,492
128,Chris Devenski,FF,35,203
71,Brad Keller,FF,35,272
366,José Ureña,FF,34,164
170,Danny Coulombe,SI,34,156
37,Andrew Chafin,FF,34,185
441,Matt Carasiti,SI,32,268
399,Kyle Freeland,FF,32,442
501,Paul Blackburn,FF,31,272
549,Sam Moll,FF,31,254
401,Kyle Gibson,FF,29,415
123,Chase Anderson,FF,27,452
439,Matt Barnes,FF,26,182
93,Brooks Raley,SI,25,245
601,Touki Toussaint,FF,25,374
50,Anthony DeSclafani,FF,25,193
379,Karl Kauffmann,SI,24,200
89,Brent Suter,SI,24,342
113,Carlos Carrasco,FF,18,506
364,José Soriano,SI,15,189
154,Corbin Burnes,SI,13,241
77,Brandon Williamson,FF,13,719
652,Zack Thompson,FF,13,627
250,Hoby Milner,FF,11,215
288,Jared Shuster,FF,10,380
13,Adam Wainwright,FF,5,176
405,Kyle Hendricks,SI,4,738
404,Kyle Hendricks,FF,3,428
235,Graham Ashcraft,SI,1,225
171,Dany Jiménez,FF,0,151
